mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_cluster_selection_method,param_min_cluster_size,param_min_samples,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.04279462496439616,0.0047670623624418065,0.10194198290506999,0.024196452504536437,1.0,eom,5,5,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 5}",0.2554093599319458,0.23051181435585022,0.16098646819591522,0.21563588082790375,0.03995739956248779,88
0.045295000076293945,0.0029299309337267906,0.13828635215759277,0.01998094155414176,1.0,eom,5,10,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 10}",0.21977634727954865,0.33205392956733704,0.2369348406791687,0.2629217058420181,0.04938320727968069,82
0.04485487937927246,0.009598719690737898,0.12379193305969238,0.03339869018022486,1.0,eom,5,15,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 15}",0.2533072233200073,0.27958109974861145,0.346836656332016,0.2932416598002116,0.03938609640960022,76
0.05201260248819987,0.0067392604642370355,0.1538372834523519,0.01279088656760367,1.0,eom,5,25,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 25}",0.3443501591682434,0.361105740070343,0.4457734227180481,0.3837431073188782,0.04439224702754656,61
0.05979784329732259,0.003945711136709996,0.16715502738952637,0.004919408933899506,1.0,eom,5,35,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 35}",0.46881288290023804,0.39059269428253174,0.42157188057899475,0.4269924859205882,0.03216246983208194,46
0.04826601346333822,0.0029913115066997793,0.1573038101196289,0.009741751494879844,1.0,eom,10,5,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 5}",0.21826131641864777,0.38448023796081543,0.18239985406398773,0.26171380281448364,0.08803487687448099,85
0.05400864283243815,0.008048755586356244,0.15510002772013345,0.013367621745323743,1.0,eom,10,10,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 10}",0.23557446897029877,0.33205392956733704,0.2512356638908386,0.27295468747615814,0.04227575008913592,79
0.05704363187154134,0.004242807138258596,0.15657504399617514,0.003986623110799919,1.0,eom,10,15,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 15}",0.3647969961166382,0.30174189805984497,0.38711562752723694,0.35121817390124005,0.036152056007562466,73
0.10656555493672688,0.007908017341156698,0.07950830459594727,0.006042107166197699,1.0,eom,10,25,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 25}",0.3718242347240448,0.361105740070343,0.4457734227180481,0.3929011325041453,0.03764156245656946,58
0.09668469429016113,0.007698197304197855,0.0991350809733073,0.013294886072740476,1.0,eom,10,35,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 35}",0.46881288290023804,0.39059269428253174,0.4486912786960602,0.4360322852929433,0.0331641077304215,37
0.07177408536275227,0.0034654266001211517,0.10966889063517253,0.013611274199728431,1.0,eom,20,5,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 20, 'min_samples': 5}",0.3670215904712677,0.39557236433029175,0.3148619830608368,0.3591519792874654,0.03341645798408688,70
0.07987793286641438,0.0034923248407163626,0.1270291010538737,0.007100403362211681,1.0,eom,20,10,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 20, 'min_samples': 10}",0.38913193345069885,0.3743998408317566,0.3600862920284271,0.3745393554369609,0.011858243817462904,64
0.07845060030619304,0.0043119335594781795,0.11592348416646321,0.00574282702610238,1.0,eom,20,15,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 20, 'min_samples': 15}",0.36817923188209534,0.2895914912223816,0.4482465088367462,0.3686724106470744,0.06477157850232491,67
0.08323446909586589,0.008474983177681892,0.12268273035685222,0.006468235528727379,1.0,eom,20,25,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 20, 'min_samples': 25}",0.3924853503704071,0.4637543559074402,0.4457734227180481,0.43400437633196515,0.03026219453584227,40
0.09272646903991699,0.008574776504799358,0.11450529098510742,0.002544618966295866,1.0,eom,20,35,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 20, 'min_samples': 35}",0.46881288290023804,0.435210645198822,0.4486912786960602,0.4509049355983734,0.013807070707829019,7
0.09257642428080241,0.01076300497695065,0.11454685529073079,0.003735980363195771,1.0,eom,30,5,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 30, 'min_samples': 5}",0.40110641717910767,0.384183794260025,0.42368167638778687,0.40299062927563983,0.016179892141444798,55
0.0844266414642334,0.00639174882504847,0.08568922678629558,0.010619825756848373,1.0,eom,30,10,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 30, 'min_samples': 10}",0.40788689255714417,0.45267659425735474,0.3661651611328125,0.40890954931577045,0.03532554680350571,52
0.08223199844360352,0.004396196462641136,0.09955326716105144,0.018678705070307697,1.0,eom,30,15,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 30, 'min_samples': 15}",0.4090309739112854,0.39341220259666443,0.4482755661010742,0.41690624753634137,0.023079747467659135,49
