mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_cluster_selection_method,param_min_cluster_size,param_min_samples,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.08488861719767253,0.009249907824496376,0.16408967971801758,0.022087083389752023,1.0,eom,5,5,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 5}",0.24263794720172882,0.26377108693122864,0.1907542496919632,0.23238776127497354,0.030677509283470565,88
0.08013876279195149,0.008530323470448306,0.1488377253214518,0.02022234772104467,1.0,eom,5,10,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 10}",0.43100929260253906,0.23863524198532104,0.38762107491493225,0.3524218698342641,0.08238600959892882,79
0.07386120160420735,0.0014935515200227912,0.15609614054361978,0.01582367877448434,1.0,eom,5,15,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 15}",0.42487233877182007,0.37548643350601196,0.33876797556877136,0.3797089159488678,0.035278533219091385,73
0.0769801139831543,0.005701640581184828,0.17000778516133627,0.007874167102644151,1.0,eom,5,25,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 25}",0.37455013394355774,0.4547818601131439,0.46236830949783325,0.43056676785151166,0.039730643164102866,67
0.09416397412618001,0.01367137583709712,0.17280197143554688,0.0124401551953274,1.0,eom,5,35,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 35}",0.4496288597583771,0.47343340516090393,0.48321181535720825,0.46875802675882977,0.014103146199582629,40
0.09866523742675781,0.018308786535871695,0.17303013801574707,0.005775893189421967,1.0,eom,10,5,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 5}",0.3270363509654999,0.27332839369773865,0.3851902186870575,0.3285183211167653,0.04567942023225325,82
0.09310611089070638,0.012674305506441563,0.16383123397827148,0.005192443353194269,1.0,eom,10,10,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 10}",0.43100929260253906,0.24945466220378876,0.28185299038887024,0.32077231506506604,0.0790635032942721,85
0.09763987859090169,0.008930487895852175,0.1610999902089437,0.004500536246690976,1.0,eom,10,15,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 15}",0.42487233877182007,0.37548643350601196,0.33876797556877136,0.3797089159488678,0.035278533219091385,73
0.1225886344909668,0.010637062177231154,0.10558708508809407,0.006902330559971002,1.0,eom,10,25,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 25}",0.4743366837501526,0.4547818601131439,0.46236830949783325,0.4638289511203766,0.008049757235708322,43
0.1324023405710856,0.01116868152177582,0.14183243115743002,0.025017588796908123,1.0,eom,10,35,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 35}",0.4944668710231781,0.47343340516090393,0.48321181535720825,0.4837040305137634,0.008593927249910066,10
