mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_cluster_selection_method,param_min_cluster_size,param_min_samples,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.05677874883015951,0.00663865532179501,0.1398927370707194,0.04227293945787751,1.0,eom,5,5,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 5}",0.24445569515228271,0.21728868782520294,0.16781997680664062,0.20985478659470877,0.031724916571644474,94
0.04822373390197754,0.009066595878535191,0.12849823633829752,0.04777561958272103,1.0,eom,5,10,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 10}",0.2996631860733032,0.3249765932559967,0.3285370469093323,0.31772560874621075,0.012854507436834759,85
0.04637010892232259,0.004765108598771689,0.12364959716796875,0.03329007973655457,1.0,eom,5,15,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 15}",0.4339105188846588,0.3923395574092865,0.3685682713985443,0.3982727825641632,0.02700376143167226,70
0.051682074864705406,0.0016891201497916833,0.145492951075236,0.010431814829217345,1.0,eom,5,25,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 25}",0.44229474663734436,0.42384397983551025,0.33502116799354553,0.40038663148880005,0.04683012251643169,67
0.05733537673950195,0.004436072519838566,0.14820138613382974,0.0036287568888293347,1.0,eom,5,35,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 35}",0.41598549485206604,0.40737342834472656,0.2991771399974823,0.374178687731425,0.053150516110676164,76
0.05165282885233561,0.0009014136653782977,0.14566429456075033,0.002399845111761584,1.0,eom,10,5,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 5}",0.299494206905365,0.37319421768188477,0.29498717188835144,0.32255853215853375,0.03585208341204104,82
0.06054933865865072,0.006311664893722882,0.15326380729675293,0.008445462510846328,1.0,eom,10,10,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 10}",0.2996631860733032,0.38740429282188416,0.351441890001297,0.34616978963216144,0.03601362459859831,79
0.05796027183532715,0.004481423205982134,0.1476459503173828,0.0025816678976267617,1.0,eom,10,15,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 15}",0.4727885127067566,0.3923395574092865,0.3685682713985443,0.4112321138381958,0.0445956738626827,52
0.09375341733296712,0.0014904597500782159,0.06742461522420247,0.01018614376986585,1.0,eom,10,25,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 25}",0.496789813041687,0.42384397983551025,0.33502116799354553,0.41855165362358093,0.06614771433555863,43
0.06111780802408854,0.00020271696152376586,0.09424034754435222,0.03021694925295229,1.0,eom,10,35,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 35}",0.4768292009830475,0.40737342834472656,0.32457631826400757,0.4029263158639272,0.062236472056863314,55
0.05147012074788412,0.0019031622196326137,0.09230772654215495,0.027249924570189973,1.0,eom,20,5,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 20, 'min_samples': 5}",0.4139755368232727,0.40329158306121826,0.37690743803977966,0.3980581859747569,0.01557888144581496,73
0.05466524759928385,0.00901167574057235,0.10986725489298503,0.018644374409079484,1.0,eom,20,10,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 20, 'min_samples': 10}",0.47333186864852905,0.38765838742256165,0.37573909759521484,0.4122431178887685,0.04346948331521921,49
