mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_cluster_selection_method,param_min_cluster_size,param_min_samples,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.05788938204447428,0.0029908236513039293,0.13143046696980795,0.008009750085159504,1.0,eom,5,5,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 5}",0.2324661761522293,0.2666417062282562,0.20129238069057465,0.23346675435702005,0.02668813037807129,88
0.0554648240407308,0.008161446893662749,0.11194403966267903,0.04910111564408695,1.0,eom,5,10,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 10}",0.2881736755371094,0.22408802807331085,0.3931538462638855,0.30180518329143524,0.0696906317130899,82
0.06802050272623698,0.004735118480518282,0.13738592465718588,0.026583278269155824,1.0,eom,5,15,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 15}",0.4129079282283783,0.39608854055404663,0.3036150336265564,0.3708705008029938,0.04804994865953205,76
0.0688947041829427,0.00444226133185549,0.15391111373901367,0.01736554976579787,1.0,eom,5,25,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 25}",0.4512704014778137,0.44153645634651184,0.33255907893180847,0.4084553122520447,0.053813666765389616,55
0.08127506573994954,0.010346832881186228,0.15338937441507974,0.00866400583169329,1.0,eom,5,35,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 5, 'min_samples': 35}",0.42917296290397644,0.39574652910232544,0.39130932092666626,0.4054096043109894,0.01690059393064246,58
0.08147311210632324,0.0060676054664956834,0.15382981300354004,0.011111803567804928,1.0,eom,10,5,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 5}",0.2957487106323242,0.40057334303855896,0.3164213001728058,0.3375811179478963,0.045334713013185514,79
0.06234884262084961,0.0015268557496331298,0.1456155776977539,0.0037719983506189158,1.0,eom,10,10,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 10}",0.29483699798583984,0.2328779250383377,0.25530657172203064,0.2610071649154027,0.02561385370192874,85
0.07075277964274089,0.001695882021376162,0.15311566988627115,0.006127404369656437,1.0,eom,10,15,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 15}",0.4129079282283783,0.42217302322387695,0.3036150336265564,0.3795653283596039,0.053838003608643645,73
0.1098165512084961,0.005648765435647079,0.09184583028157552,0.012284835698141414,1.0,eom,10,25,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 25}",0.4512704014778137,0.44153645634651184,0.34999316930770874,0.4142666757106781,0.04562163332568009,49
0.10538363456726074,0.008997644110068708,0.10669557253519694,0.0073634429703483585,1.0,eom,10,35,"{'alpha': 1.0, 'cluster_selection_method': 'eom', 'min_cluster_size': 10, 'min_samples': 35}",0.47148287296295166,0.45513495802879333,0.40367788076400757,0.44343190391858417,0.028891756014528664,31
